"Time (s)","Pressure (hPa)"
5.151174590E2,9.742177582E2
5.160742380E2,9.742601776E2
5.170308090E2,9.742985535E2
5.179872430E2,9.743383026E2
5.189437480E2,9.743794250E2
5.199002100E2,9.744220734E2
5.208567320E2,9.744607544E2
5.218132690E2,9.744989777E2
5.227697710E2,9.745400238E2
5.237263480E2,9.745921326E2
5.246832370E2,9.746372986E2
5.256401450E2,9.746818542E2
5.265970990E2,9.747286987E2
5.275540100E2,9.747790527E2
5.285109020E2,9.748255920E2
5.294677840E2,9.748824310E2
5.304246610E2,9.749411774E2
5.313815450E2,9.749982452E2
5.323384070E2,9.750608063E2
5.332953860E2,9.751280212E2
5.342526240E2,9.752140045E2
5.352098350E2,9.753262329E2
5.361668890E2,9.754763031E2
5.371238980E2,9.756641388E2
5.380809410E2,9.758824158E2
5.390379940E2,9.761222839E2
5.399950360E2,9.763768768E2
5.409521050E2,9.766464233E2
5.419092500E2,9.769213104E2
5.428663040E2,9.771925354E2
5.438233890E2,9.774590302E2
5.447804000E2,9.777198792E2
5.457374430E2,9.779523468E2
5.466944410E2,9.781501007E2
5.476514360E2,9.783303833E2
5.486084390E2,9.784740448E2
5.495655620E2,9.785757446E2
5.505226780E2,9.786511230E2
5.514797640E2,9.786811066E2
5.524367610E2,9.786811066E2
5.533937540E2,9.786334229E2
5.543508220E2,9.785516357E2
5.553079180E2,9.784283447E2
5.562649410E2,9.782770538E2
5.572219980E2,9.780921173E2
5.581790870E2,9.778810120E2
5.591361480E2,9.776397705E2
5.600931510E2,9.773881531E2
5.610501870E2,9.771209717E2
5.620071610E2,9.768445587E2
5.629641660E2,9.765634155E2
5.639211860E2,9.763066101E2
5.648782790E2,9.760590363E2
5.658353040E2,9.758421326E2
5.667923390E2,9.756611633E2
5.677493740E2,9.755135345E2
5.687063840E2,9.753770447E2
5.696634950E2,9.752725983E2
5.706206650E2,9.751941681E2
5.715778500E2,9.751408386E2
5.725350700E2,9.751403046E2
5.734922530E2,9.751403046E2
5.744494820E2,9.751872253E2
5.754066950E2,9.752571869E2
5.763639230E2,9.753582764E2
5.773211620E2,9.755202484E2
5.782784180E2,9.757182312E2
5.792356610E2,9.759368134E2
5.801929040E2,9.761649323E2
5.811502370E2,9.763916779E2
5.821076380E2,9.765883636E2
5.830650480E2,9.767685699E2
5.840224020E2,9.769527435E2
5.849797770E2,9.771403503E2
5.859370800E2,9.772952271E2
5.868943490E2,9.774302673E2
5.878516380E2,9.775502777E2
5.888089680E2,9.776392365E2
5.897662830E2,9.776921082E2
5.907236610E2,9.777490997E2
5.916810750E2,9.778076935E2
5.926383540E2,9.778534698E2
5.935955110E2,9.778975677E2
5.945527560E2,9.779435730E2
5.955100260E2,9.779831696E2
5.964673170E2,9.780226135E2
5.974245130E2,9.780670166E2
5.983817450E2,9.781129456E2
5.993389680E2,9.781620789E2
6.002962260E2,9.782173920E2
6.012534020E2,9.782696533E2
6.022105290E2,9.783226013E2
6.031676840E2,9.783747864E2
6.041249030E2,9.784297180E2
6.050821580E2,9.784916687E2
6.060394130E2,9.785537720E2
6.069966570E2,9.786103821E2
6.079539770E2,9.786735535E2
6.089113460E2,9.787493896E2
6.098686070E2,9.788336945E2
6.108259640E2,9.789310455E2
6.117833140E2,9.790579987E2
6.127406270E2,9.792133331E2
6.136979620E2,9.793917847E2
6.146554030E2,9.796063232E2
6.156129810E2,9.798487854E2
6.165706870E2,9.801018524E2
6.175284680E2,9.803588104E2
6.184863880E2,9.806281281E2
6.194444390E2,9.808926392E2
6.204025150E2,9.811630249E2
6.213604660E2,9.814331818E2
6.223182780E2,9.817172241E2
6.232760750E2,9.820089722E2
6.242337560E2,9.823064423E2
6.251915220E2,9.825986481E2
6.261494340E2,9.829011536E2
6.271073080E2,9.831914520E2
6.280650620E2,9.834756470E2
6.290226900E2,9.837584686E2
6.299802410E2,9.840410614E2
6.309379150E2,9.843296814E2
6.318956630E2,9.846164703E2
6.328533500E2,9.848751831E2
6.338110450E2,9.851065826E2
6.347686750E2,9.853010559E2
6.357263060E2,9.854475403E2
6.366839460E2,9.855448914E2
6.376415680E2,9.856018066E2
6.385992430E2,9.856018066E2
6.395568470E2,9.855803680E2
6.405144710E2,9.854938507E2
6.414720780E2,9.853689575E2
6.424298000E2,9.851885986E2
6.433874690E2,9.849756622E2
6.443450910E2,9.847362518E2
6.453028060E2,9.844789886E2
6.462604450E2,9.842105103E2
6.472181840E2,9.839705658E2
6.481759580E2,9.837583160E2
6.491336930E2,9.835793304E2
6.500915150E2,9.834409332E2
6.510492740E2,9.833441925E2
6.520070730E2,9.832752228E2
6.529648580E2,9.832214355E2
6.539226090E2,9.831819153E2
6.548802880E2,9.831526184E2
6.558380440E2,9.831339264E2
6.567958200E2,9.831206512E2
6.577536230E2,9.831206512E2
6.587114340E2,9.831591034E2
6.596691870E2,9.832193756E2
6.606269910E2,9.832787323E2
6.615847980E2,9.833385468E2
6.625426760E2,9.834211731E2
6.635004960E2,9.834339905E2
6.644583200E2,9.834425354E2
6.654161770E2,9.834553528E2
6.663740500E2,9.834553528E2
6.673318740E2,9.834204865E2
6.682897100E2,9.833921051E2
6.692476170E2,9.833595276E2
6.702054830E2,9.833262634E2
6.711632870E2,9.833017731E2
6.721211150E2,9.833017731E2
6.730789840E2,9.833206940E2
6.740368530E2,9.833435059E2
6.749947960E2,9.833650208E2
6.759526170E2,9.833880615E2
6.769103770E2,9.834085846E2
6.778681530E2,9.834188843E2
6.788258960E2,9.834188843E2
6.797836970E2,9.833995819E2
6.807415290E2,9.833567047E2
6.816993820E2,9.832910156E2
6.826572920E2,9.832043457E2
6.836152190E2,9.830891418E2
6.845732090E2,9.829547119E2
6.855311700E2,9.828124237E2
6.864890800E2,9.826641083E2
6.874470170E2,9.825064850E2
6.884049730E2,9.823539734E2
6.893629570E2,9.822146606E2
6.903208870E2,9.820816040E2
6.912787640E2,9.819724274E2
6.922366190E2,9.818939209E2
6.931944720E2,9.818448639E2
6.941523110E2,9.818261719E2
6.951102000E2,9.818261719E2
6.960681140E2,9.818532562E2
6.970260860E2,9.819013977E2
6.979840570E2,9.819622803E2
6.989420420E2,9.820307922E2
6.999000410E2,9.820996094E2
7.008579060E2,9.821652222E2
7.018158300E2,9.822213745E2
7.027737430E2,9.822581482E2
7.037317290E2,9.822595215E2
7.046897400E2,9.822595215E2
7.056477520E2,9.822145844E2
7.066057730E2,9.821311951E2
7.075637250E2,9.820124054E2
7.085217630E2,9.818670654E2
7.094798320E2,9.816877747E2
7.104377490E2,9.814809418E2
7.113957950E2,9.812531281E2
7.123540070E2,9.810137177E2
7.133122280E2,9.807645416E2
7.142704160E2,9.805068207E2
7.152286820E2,9.802436066E2
7.161870010E2,9.799819946E2
7.171454420E2,9.797216034E2
7.181038050E2,9.794664001E2
7.190622010E2,9.792246246E2
7.200206670E2,9.789863586E2
7.209791680E2,9.787510681E2
7.219376910E2,9.785223389E2
7.228962020E2,9.783059692E2
7.238546080E2,9.781005096E2
7.248131000E2,9.779216003E2
7.257715630E2,9.777701569E2
7.267300240E2,9.776427460E2
7.276885690E2,9.775469208E2
7.286471680E2,9.774842834E2
7.296058460E2,9.774784088E2
7.305645310E2,9.774784088E2
7.315231800E2,9.775408936E2
7.324817960E2,9.776406860E2
7.334404160E2,9.777827454E2
7.343990630E2,9.779571533E2
7.353577270E2,9.781628418E2
7.363163670E2,9.783881378E2
7.372750060E2,9.786297607E2
7.382335840E2,9.788820648E2
7.391922300E2,9.791474152E2
7.401508900E2,9.794281769E2
7.411094910E2,9.797167969E2
7.420681640E2,9.800044250E2
7.430268590E2,9.802919769E2
7.439855760E2,9.805713654E2
7.449442640E2,9.808277130E2
7.459028970E2,9.810796356E2
7.468616330E2,9.813417816E2
7.478203970E2,9.816048431E2
7.487792340E2,9.818791962E2
7.497380580E2,9.821659851E2
7.506968470E2,9.824681091E2
7.516556730E2,9.827682495E2
7.526145220E2,9.830735779E2
7.535733590E2,9.833720398E2
7.545322220E2,9.836653900E2
7.554910600E2,9.839462280E2
7.564498760E2,9.842295074E2
7.574087110E2,9.845243073E2
7.583675170E2,9.848237610E2
7.593262790E2,9.851219177E2
7.602849950E2,9.854280090E2
7.612437560E2,9.857256317E2
7.622025450E2,9.860033417E2
7.631611890E2,9.862710571E2
7.641199340E2,9.865312958E2
7.650787410E2,9.867702484E2
7.660375140E2,9.869849396E2
7.669963570E2,9.871762848E2
7.679552270E2,9.873294067E2
7.689140580E2,9.874316406E2
7.698728760E2,9.874961090E2
7.708316640E2,9.875402832E2
7.717904770E2,9.875651550E2
7.727492570E2,9.875920105E2
7.737079790E2,9.876390839E2
7.746667340E2,9.877009583E2
7.756255340E2,9.877656555E2
7.765843940E2,9.878355408E2
7.775431860E2,9.878959656E2
7.785019730E2,9.879431915E2
7.794607270E2,9.879954529E2
7.804196200E2,9.880447388E2
7.813785250E2,9.880924988E2
7.823373600E2,9.881424713E2
7.832962860E2,9.881979370E2
7.842552210E2,9.882474518E2
7.852140780E2,9.882990265E2
7.861728480E2,9.883466339E2
7.871316090E2,9.883976746E2
7.880904030E2,9.884490967E2
7.890492080E2,9.885023499E2
7.900080150E2,9.885510254E2
7.909667850E2,9.886061859E2
7.919256310E2,9.886624146E2
7.928844950E2,9.887201691E2
7.938433550E2,9.887783051E2
7.948022100E2,9.888353729E2
7.957610770E2,9.888921356E2
7.967199900E2,9.889482880E2
7.976788820E2,9.889942169E2
7.986378340E2,9.890257263E2
7.995967550E2,9.890308380E2
8.005557790E2,9.890308380E2
8.015148080E2,9.889780426E2
8.024739150E2,9.888275146E2
8.034330200E2,9.886203003E2
8.043921190E2,9.883817291E2
8.053512880E2,9.881173706E2
8.063104770E2,9.878295135E2
8.072695680E2,9.875912476E2
8.082286520E2,9.873720551E2
8.091878320E2,9.871778870E2
8.101469980E2,9.869825745E2
8.111061680E2,9.868253326E2
8.120653020E2,9.867016602E2
8.130244870E2,9.866234589E2
8.139836720E2,9.865637970E2
8.149428030E2,9.865451813E2
8.159019190E2,9.865451813E2
8.168609890E2,9.865637970E2
8.178201010E2,9.865896606E2
8.187791970E2,9.866202545E2
8.197382840E2,9.866573334E2
8.206974190E2,9.866931915E2
8.216564960E2,9.867436981E2
8.226155720E2,9.868200684E2
8.235746070E2,9.869283295E2
8.245336740E2,9.870644379E2
8.254927520E2,9.872367859E2
